dataset,sample_id,reasons,excluded_from_dispatch,ground_truth,text_len
dreaddit,dread_001284,flagged_cross_split_duplicate,no,0,424
dreaddit,dread_001376,flagged_cross_split_duplicate,no,1,649
dreaddit,dread_001494,flagged_cross_split_duplicate,no,1,514
goemotions,ge_023717,below_min_length_gate,yes,non_distress,9
goemotions,ge_023725,below_min_length_gate,yes,frustration,9
goemotions,ge_023749,below_min_length_gate,yes,non_distress,9
goemotions,ge_023826,below_min_length_gate|duplicate_text_within_test_split|flagged_cross_split_duplicate,yes,non_distress,7
goemotions,ge_023889,below_min_length_gate,yes,non_distress,8
goemotions,ge_023903,below_min_length_gate,yes,non_distress,8
goemotions,ge_023939,below_min_length_gate,yes,non_distress,9
goemotions,ge_024183,flagged_cross_split_duplicate,no,sadness,13
goemotions,ge_024197,below_min_length_gate|duplicate_text_within_test_split|flagged_cross_split_duplicate|flagged_intra_split_duplicate,yes,non_distress,7
goemotions,ge_024218,below_min_length_gate,yes,non_distress,8
goemotions,ge_024221,below_min_length_gate,yes,non_distress,6
goemotions,ge_024290,below_min_length_gate,yes,non_distress,9
goemotions,ge_024297,flagged_cross_split_duplicate,no,fear,18
goemotions,ge_024324,below_min_length_gate,yes,non_distress,7
goemotions,ge_024393,below_min_length_gate,yes,non_distress,7
goemotions,ge_024554,below_min_length_gate,yes,frustration,9
goemotions,ge_024643,below_min_length_gate,yes,non_distress,9
goemotions,ge_024961,below_min_length_gate,yes,non_distress,5
goemotions,ge_025129,flagged_cross_split_duplicate,no,non_distress,17
goemotions,ge_025291,below_min_length_gate,yes,non_distress,7
goemotions,ge_025354,below_min_length_gate,yes,non_distress,6
goemotions,ge_025359,below_min_length_gate,yes,non_distress,6
goemotions,ge_025392,flagged_cross_split_duplicate,no,non_distress,25
goemotions,ge_025610,below_min_length_gate,yes,frustration,9
goemotions,ge_025626,below_min_length_gate,yes,non_distress,9
goemotions,ge_025781,below_min_length_gate,yes,non_distress,8
goemotions,ge_025873,below_min_length_gate,yes,non_distress,9
goemotions,ge_025901,below_min_length_gate,yes,non_distress,6
goemotions,ge_025962,flagged_cross_split_duplicate,no,non_distress,15
goemotions,ge_025971,below_min_length_gate,yes,non_distress,8
goemotions,ge_026028,below_min_length_gate,yes,non_distress,7
goemotions,ge_026034,below_min_length_gate|flagged_cross_split_duplicate,yes,non_distress,8
goemotions,ge_026105,below_min_length_gate,yes,non_distress,8
goemotions,ge_026167,below_min_length_gate,yes,non_distress,8
